aX,aY,aZ,gX,gY,gZ
0.624,0.348,0.653,2.991,3.174,-2.869
0.625,0.343,0.654,3.418,3.174,-2.991
0.623,0.342,0.652,3.357,3.296,-2.869
0.622,0.341,0.652,3.235,3.357,-2.686
0.623,0.339,0.655,3.540,3.418,-2.136
0.625,0.345,0.657,3.967,3.723,-1.160
0.628,0.364,0.659,4.150,4.150,0.000
0.633,0.376,0.651,3.601,4.272,-0.122
0.635,0.375,0.648,2.686,4.211,-0.977
0.635,0.374,0.646,2.075,3.723,-1.648
0.637,0.372,0.646,1.526,3.296,-2.075
0.638,0.373,0.645,1.648,2.991,-2.380
0.646,0.375,0.646,1.709,2.441,-2.625
0.652,0.373,0.643,1.160,1.770,-3.296
0.653,0.363,0.646,0.671,0.488,-4.333
0.653,0.351,0.653,0.244,-0.916,-5.066
0.654,0.340,0.663,0.488,-2.014,-5.371

-0.987,1.285,1.484,-133.972,-49.133,86.975
-1.135,1.673,1.599,-147.217,-33.020,70.679
-1.233,2.067,1.670,-141.846,-10.681,42.358
-1.270,2.510,1.709,-120.544,16.174,0.793
-1.425,2.943,1.818,-87.524,44.373,-59.692
-1.555,3.306,1.824,-57.373,86.426,-141.846
-1.787,3.368,1.714,-21.423,138.794,-245.789
-2.003,3.113,1.291,19.165,202.209,-361.023
-2.245,2.561,0.880,56.763,255.066,-466.797
-2.484,1.947,0.541,93.750,289.978,-554.749
-2.677,1.500,0.300,116.455,322.083,-624.329
-2.800,1.204,0.025,124.756,348.145,-680.298
-3.076,0.881,-0.058,133.301,346.191,-728.394
-3.372,0.613,-0.122,133.728,347.412,-778.503
-3.738,0.316,-0.306,136.475,355.896,-828.430
-4.000,-0.141,-0.580,152.100,366.699,-874.817
-4.000,-0.658,-1.074,170.349,375.793,-905.579
-4.000,-1.272,-1.669,182.800,362.671,-910.889
-4.000,-2.204,-1.833,168.518,315.735,-885.803
-4.000,-2.746,-2.244,96.375,309.814,-811.401
-4.000,-3.568,-3.229,23.499,297.363,-746.155
-2.936,-4.000,-4.000,-29.785,240.540,-730.835
-1.474,-4.000,-3.914,-40.771,126.221,-678.894
-0.905,-4.000,-1.799,84.534,-68.298,-569.641
-0.908,-4.000,-0.425,177.673,-143.066,-429.016
-0.415,-4.000,-0.676,202.881,-66.406,-204.529
-0.657,-4.000,-1.113,158.386,8.118,10.620
-1.052,-4.000,-0.906,105.957,-18.188,127.319
-1.102,-3.231,-0.869,36.621,-45.532,194.336
-0.925,-2.868,-0.936,-4.517,-50.049,233.704
-0.736,-2.865,-1.218,-39.917,-41.199,280.090
-0.689,-2.854,-1.273,-54.749,-55.359,343.628
-0.643,-2.635,-1.149,-44.678,-89.111,404.968
-0.661,-2.607,-0.816,-42.358,-121.338,434.204
-0.732,-2.599,-0.513,-58.655,-138.123,449.585
-0.812,-2.325,-0.295,-85.266,-139.343,468.567
-0.774,-1.876,-0.267,-112.488,-129.150,484.253
-0.710,-1.507,-0.328,-132.019,-122.925,486.694
